Country Name,2015 Total Pop,2016 Total Pop,2017 Total Pop,2018 Total Pop,2019 Total Pop,2015 Adults (%),2016 Adults (%),2017 Adults (%),2018 Adults (%),2019 Adults (%),2015 Total Unemploment,2016 Total Unemploment,2017 Total Unemploment,2018 Total Unemploment,2019 Total Unemploment,2015 Female Unemploment,2016 Female Unemploment,2017 Female Unemploment,2018 Female Unemploment,2019 Female Unemploment,2015 Male Unemployment,2016 Male Unemployment,2017 Male Unemployment,2018 Male Unemployment,2019 Male Unemployment,2015 Total GDP,2016 Total GDP,2017 Total GDP,2018 Total GDP,2019 Total GDP,2015 Total Labor Force,2016 Total Labor Force,2017 Total Labor Force,2018 Total Labor Force,2019 Total Labor Force,2015 % Total GDP,2016 % Total GDP,2017 % Total GDP,2018 % Total GDP,2019 % Total GDP,"2015 % Spending/Student, Primary","2016 % Spending/Student, Primary","2017 % Spending/Student, Primary","2018 % Spending/Student, Primary","2019 % Spending/Student, Primary","2015 % Spending/Student, Secondary","2016 % Spending/Student, Secondary","2017 % Spending/Student, Secondary","2018 % Spending/Student, Secondary","2019 % Spending/Student, Secondary","2015 % Spending/Student, Tertiary","2016 % Spending/Student, Tertiary","2017 % Spending/Student, Tertiary","2018 % Spending/Student, Tertiary","2019 % Spending/Student, Tertiary",2015 Total Literacy,2016 Total Literacy,2017 Total Literacy,2018 Total Literacy,2019 Total Literacy,2015 Male Literacy,2016 Male Literacy,2017 Male Literacy,2018 Male Literacy,2019 Male Literacy,2015 Female Literacy,2016 Female Literacy,2017 Female Literacy,2018 Female Literacy,2019 Female Literacy,2015 Happiness Score,2016 Happiness Score,2017 Happiness Score,2018 Happiness Score,2019 Happiness Score
Afghanistan,34413603.0,35383128.0,36296400.0,37172386.0,38041754.0,52.644298825670795,53.2079642015981,53.7632225246819,54.3248975483403,54.9119343971364,11.387000083923304,11.312999725341802,11.184000015258801,11.057000160217301,11.1180000305176,14.427000045776401,14.3140001296997,14.0900001525879,13.9060001373291,14.003999710083,10.684000015258801,10.571000099182099,10.4160003662109,10.2869997024536,10.331000328063999,19907111419.0,18017749074.0,18869945678.0,18353881130.0,19291104008.0,9176450.0,9566712.0,9947922.0,10334090.0,10699797.0,3.255800009,4.228360176,4.058869839,,,10.24688,10.34081,10.25174,,,10.29234,11.98575,11.3072,,,,,,,,,,,43.019718170165994,,,,,55.4754486083984,,,,,29.8052101135254,,3.575,3.36,3.7939999103546103,3.6319999999999997,3.2030000000000003
Angola,27884381.0,28842484.0,29816748.0,30809762.0,31825295.0,50.6151669639,50.6856291078069,50.8077871356001,50.9747016426956,51.17863322241,7.28200006484985,7.22300004959106,7.11899995803833,7.019000053405759,6.886000156402591,7.68100023269653,7.563000202178959,7.46700000762939,7.3270001411438,6.94199991226196,6.88299989700317,6.881999969482419,6.769000053405759,6.70800018310547,6.82999992370605,116194000000.0,101124000000.0,122124000000.0,101353000000.0,88815697793.0,11437925.0,11848410.0,12268842.0,12705486.0,13164276.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.033,3.866,3.79500007629395,3.795,
Albania,2880703.0,2876101.0,2873457.0,2866376.0,2854191.0,68.7047247322534,68.66009247383799,68.6426142157412,68.5823903647225,68.3978052821376,17.0799999237061,15.220000267028801,13.75,12.3400001525879,12.331000328064,17.097999572753903,14.572999954223599,12.562999725341802,11.229000091552699,11.604000091552699,17.068000793457,15.6780004501343,14.5900001525879,13.126999855041499,12.8459997177124,11386846319.0,11861200797.0,13019693451.0,15147020535.0,15279183290.0,1289562.0,1302836.0,1316869.0,1318022.0,1313923.0,3.4379699230000003,3.962090015,3.611720085,,,29.84568,,34.18148,,,6.78368,9.82258,7.97805,,,12.88117,14.645970000000002,13.78559,,,,,,98.1411514282227,,,,,98.5136184692383,,,,,97.7611236572266,,4.959,4.655,4.64400005340576,4.586,4.718999999999999
United Arab Emirates,9262900.0,9360980.0,9487203.0,9630959.0,9770529.0,84.9027410422222,84.6274962664165,84.46089959285159,84.31148964500841,84.130838770347,1.9099999666214,1.6360000371933,2.46300005912781,2.22900009155273,2.34800004959106,4.70300006866455,4.19999980926514,7.136000156402591,6.1869997978210405,6.0460000038147,1.37399995326996,1.11899995803833,1.48000001907349,1.39100003242493,1.55900001525879,358135000000.0,357045000000.0,385606000000.0,422215000000.0,421142000000.0,6600371.0,6612725.0,6676278.0,6752973.0,6840917.0,,,,,,,,,,,,,,,,,,,,,93.22714233398442,,,,,92.55615997314449,,,,,95.0976104736328,,,,,6.901,6.5729999999999995,6.6479997634887695,6.774,6.825
Argentina,43131966.0,43590368.0,44044811.0,44494502.0,44938712.0,64.0600197569769,64.0605666116429,64.0835225051061,64.1212772887989,64.1613658498285,7.75,7.9770002365112305,8.34700012207031,9.22000026702881,9.788999557495119,8.85099983215332,9.11800003051758,9.46399974822998,10.5380001068115,10.921999931335401,6.96500015258789,7.150000095367429,7.52699995040894,8.22599983215332,8.9350004196167,594749000000.0,557531000000.0,643629000000.0,517627000000.0,445445000000.0,19360544.0,19696452.0,20035267.0,20551682.0,20772672.0,5.776110172,5.545489787999999,5.462230206,,,15.64309,15.2222,14.97726,,,22.87436,21.59171,20.6226,,,17.248639999999998,16.08373,16.91251,,,99.17996215820308,99.12500762939449,,99.0038681030273,,99.1482467651367,99.10498809814449,,98.93773651123051,,99.20877075195308,99.14309692382808,,99.06204223632808,,6.574,6.65,6.59899997711182,6.388,6.086
Armenia,2925553.0,2936146.0,2944809.0,2951776.0,2957731.0,69.0425707549991,68.76105829995339,68.4489663273217,68.11276041799,67.7503802746092,18.260999679565398,17.617000579834002,17.7049999237061,17.496000289917,16.9899997711182,19.252000808715803,17.4839992523193,17.4710006713867,17.1989994049072,17.2950000762939,17.3859996795654,17.7310009002686,17.9060001373291,17.7509994506836,16.7290000915527,10553337673.0,10546135160.0,11527458566.0,12457941907.0,13672802158.0,1334775.0,1310061.0,1303653.0,1303093.0,1303565.0,2.80591011,2.75812006,2.707590103,,,10.994000000000002,11.27122,10.15365,,,,,,,,9.83908,9.7656,9.88124,,,,,99.7360687255859,,,,,99.8054962158203,,,,,99.6771621704102,,,4.35,4.36,4.37599992752075,4.3210000000000015,4.559
Australia,23815995.0,24190907.0,24601860.0,24982688.0,25364307.0,66.2580494091257,65.9065730162399,65.5309417025767,65.1529077338752,64.8033515429272,6.05399990081787,5.71000003814697,5.59100008010864,5.2979998588562,5.26800012588501,6.07299995422363,5.77899980545044,5.6680002212524405,5.31799983978271,5.32800006866455,6.03900003433228,5.65100002288818,5.525000095367429,5.2810001373291,5.21500015258789,1351690000000.0,1208850000000.0,1329190000000.0,1432880000000.0,1396570000000.0,12585539.0,12742247.0,12989073.0,13254463.0,13414956.0,5.311270237,5.276780128,5.124249935,,,18.78482,19.30184,,,,17.13625,14.98139,,,,21.46599,17.829539999999994,,,,,,,,,,,,,,,,,,,7.284,7.313,7.28399991989136,7.272,7.228
Austria,8642699.0,8736668.0,8797566.0,8840521.0,8877067.0,67.0395429709195,66.9201962982639,66.812507305921,66.7004859083869,66.5625360827828,5.72300004959106,6.01399993896484,5.499000072479251,4.84800004959106,4.673999786376951,5.30800008773804,5.5430002212524405,5.0310001373291,4.65000009536743,4.54699993133545,6.08500003814697,6.42600011825562,5.90799999237061,5.019999980926509,4.78399991989136,381818000000.0,395569000000.0,417238000000.0,455095000000.0,445075000000.0,4460833.0,4537043.0,4566743.0,4601213.0,4613292.0,5.456580162000001,5.484350204,5.358039856,,,23.20446,23.48041,,,,27.293000000000006,27.720440000000004,,,,35.98491,36.23652,,,,,,,,,,,,,,,,,,,7.2,7.119,7.00600004196167,7.138999999999999,7.246
Azerbaijan,9649341.0,9757812.0,9854033.0,9939771.0,10023318.0,71.3895878982556,71.02714110855919,70.7226479179956,70.43524738889859,70.11169103273001,4.96000003814697,5.0,5.0,4.90000009536743,5.5089998245239284,5.86700010299683,5.90799999237061,5.92700004577637,5.76599979400635,6.33500003814697,4.0879998207092285,4.13500022888184,4.11899995803833,4.0760002136230495,4.723999977111821,53074370486.0,37867518957.0,40865558912.0,47112941176.0,48047647059.0,4875807.0,4969726.0,5033862.0,5091052.0,5103137.0,2.951679945,2.903409958,2.473819971,2.455430031,,,,,,,,,,,,17.88004,23.31199,19.39114,,,99.7880630493164,99.7900619506836,99.79122924804692,,,99.8626327514648,99.8640518188477,99.8637466430664,,,99.7171401977539,99.7195510864258,99.7219924926758,,,5.2120000000000015,5.291,5.234000205993652,5.2010000000000005,5.207999999999998
Burundi,10160030.0,10487998.0,10827024.0,11175378.0,11530580.0,52.3834673716515,52.3029616242189,52.2577451836004,52.2513787905443,52.28725701569221,1.55200004577637,1.52799999713898,1.48699998855591,1.44799995422363,1.42700004577637,1.12600004673004,1.12300002574921,1.07299995422363,1.03299999237061,1.00899994373322,2.01500010490417,1.9670000076293896,1.93400001525879,1.89600002765656,1.8780000209808303,3104394858.0,2959640987.0,3172292379.0,3036931818.0,3012334882.0,4350268.0,4503184.0,4660778.0,4822373.0,4983237.0,6.370540142,4.691999912,4.762020111,5.078649998,,,,,,,,,,,,,,,,,,,68.3753280639648,,,,,76.2960510253906,,,,,61.223690032959006,,,2.905,2.905,2.90499997138977,2.905,3.775
